Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Beijing Bites,4.1,"Chinese, Seafood, Thai, Rolls, Momos, Malaysian",¹ 250.00,32,   100 OFF,https://www.zomato.com/bangalore/beijing-bites-richmond-road/order
Maven Kitchen,4.6,"Chinese, North Eastern, Beverages",¹ 250.00,52,NA,https://www.zomato.com/bangalore/maven-kitchen-ejipura-bangalore/order
McDonald's,4,"Burger, Fast Food, Beverages",¹ 250.00,29,Free New McSaver Pizza McPuff,https://www.zomato.com/bangalore/mcdonalds-mg-road/order
Burger King,4.1,"Burger, Fast Food, Desserts, Beverages",¹ 250.00,38,NA,https://www.zomato.com/bangalore/burger-king-commercial-street/order
Mani's Dum Biryani,4.4,"Biryani, North Indian, Beverages",¹ 250.00,48,NA,https://www.zomato.com/bangalore/manis-dum-biryani-ulsoor/order
Thalassery Restaurant,4.1,"Kerala, South Indian, Seafood, North Indian, Chinese, Shawarma, Biryani, Beverages",¹ 250.00,51,NA,https://www.zomato.com/bangalore/thalassery-restaurant-koramangala-5th-block-bangalore/order
Kanti Sweets,4.4,"Mithai, Desserts, Street Food",¹ 250.00,26,NA,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order
Polar Bear,4.3,"Ice Cream, Desserts, Shake, Beverages, Sandwich",¹ 250.00,35,NA,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order
EasyBites By Empire,4.2,"Burger, Fast Food",¹ 250.00,33,10% OFF,https://www.zomato.com/bangalore/easybites-by-empire-brigade-road-bangalore/order
Truffles,4.3,"Burger, Italian, Desserts, Continental, American, Fast Food, Beverages",¹ 250.00,28,   150 OFF,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order
Nandhini Deluxe,4,"Andhra, Biryani, North Indian",¹ 250.00,26,40% OFF,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order
Biriyani Zone,4.2,"Biryani, Andhra, North Indian, Chinese, Kebab, Seafood, Desserts, Beverages",¹ 250.00,52,20% OFF,https://www.zomato.com/bangalore/biriyani-zone-thippasandra-bangalore/order
Andhra Gunpowder,4.3,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",¹ 250.00,37,   100 OFF,https://www.zomato.com/bangalore/andhra-gunpowder-seshadripuram-bangalore/order
Leon's Burgers & Wings,4.2,"Burger, Fast Food, Wraps",¹ 250.00,43,NA,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order
Sharief Bhai,3.8,"Biryani, Kebab, Mughlai, Arabian, South Indian, Rolls, Desserts, Beverages",¹ 250.00,46,20% OFF,https://www.zomato.com/bangalore/sharief-bhai-frazer-town-bangalore/order
California Burrito,4.5,"Mexican, American, Continental, Healthy Food, Beverages, Fast Food",¹ 250.00,42,50% OFF,https://www.zomato.com/bangalore/california-burrito-malleshwaram/order
