Customer_name,Number_of_Reviews,Number_of_Followers,Star_Rating,Time_of_Posting,Votes_&_Comments,Review_Text,Type
Sairamh81,0 reviews,0 Followers,5,an hour ago,"0 Votes for helpful, 0 Comments",Size of the Burger should be little more...,DELIVERY
Kusum Mondal,0 reviews,0 Followers,2,14 hours ago,"0 Votes for helpful, 0 Comments","Food was completely cold, not freshly made",DELIVERY
Raghavendra Rao,0 reviews,0 Followers,1,14 hours ago,"0 Votes for helpful, 0 Comments",Saucy fries had less then saucy it's less then then ketchup given very bad not happy,DELIVERY
Manisha,0 reviews,0 Followers,1,5 days ago,"0 Votes for helpful, 0 Comments",food was nice but the preparation time really long,DELIVERY
Benaka.S,0 reviews,0 Followers,1,6 days ago,"0 Votes for helpful, 0 Comments","i ordered double Patty burger. but when I received the order, the burger had only 1 patty. very disappointed with you.",DELIVERY
Benaka.S,0 reviews,0 Followers,1,6 days ago,"0 Votes for helpful, 0 Comments","i ordered double Patty burger. but when I received the order, the burger had only 1 patty. very disappointed with you.",DELIVERY
Aashi,0 reviews,0 Followers,1,9 days ago,"0 Votes for helpful, 0 Comments",food spillage,DELIVERY
Aashi,0 reviews,0 Followers,1,9 days ago,"0 Votes for helpful, 0 Comments",food spillage,DELIVERY
Safeer Hussain,0 reviews,0 Followers,2,10 days ago,"0 Votes for helpful, 0 Comments","Fries were not cook, fries were raw from inside",DELIVERY
Dastu,0 reviews,0 Followers,1,12 days ago,"0 Votes for helpful, 0 Comments",worst brand 😮‍💨,DELIVERY
Soumiki Chakraborty,0 reviews,0 Followers,1,22 days ago,"0 Votes for helpful, 0 Comments",there is no tissue. the tacco is the worst tacco I ate so far. the meyo in burger is also not spreaded and the wings are tasted old,DELIVERY
Sudeep R,0 reviews,0 Followers,1,22 days ago,"0 Votes for helpful, 0 Comments",Food leaked,DELIVERY
Sadiyakhaan,0 reviews,0 Followers,2,22 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Abhishek Banerjee,0 reviews,0 Followers,1,22 days ago,"0 Votes for helpful, 0 Comments",30 min delay in delivery,DELIVERY
Durga Prasad,0 reviews,0 Followers,5,24 days ago,"0 Votes for helpful, 0 Comments",good,DELIVERY
Rohit Rao,0 reviews,18 Followers,1,27 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Nikhita,0 reviews,0 Followers,5,27 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Aaliya Firdouse,0 reviews,0 Followers,3,28 days ago,"0 Votes for helpful, 0 Comments",the coca cola bottle wasn't opening at the end I burnt tht bottle in order to open it,DELIVERY
Saravanan Kumar,0 reviews,1 Followers,5,28 days ago,"0 Votes for helpful, 0 Comments",good,DELIVERY
Joseph Praveen Dial Extension 8035,0 reviews,6 Followers,4,29 days ago,"0 Votes for helpful, 0 Comments",overall it was good,DELIVERY
Raghu,0 reviews,0 Followers,4,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Sourav Mazumdar (EY),0 reviews,0 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",i didn't expect such the worst thing from burger,DELIVERY
Aashia Ajay,0 reviews,1 Followers,5,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Suhas,0 reviews,0 Followers,5,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Raghavendra Rao,0 reviews,0 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",I ordered for chocolate lava cake and u sent me mousse,DELIVERY
Raj Kumar,0 reviews,4 Followers,3,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Jude D'Souza,0 reviews,1 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",Th,DELIVERY
Manasa Bridget,0 reviews,0 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",french fries was not cooked and burger was too small,DELIVERY
Malavika,0 reviews,0 Followers,3,one month ago,"0 Votes for helpful, 0 Comments",please don't use this reusable bottles it is very hard to open.,DELIVERY
Sushma G S,0 reviews,1 Followers,3,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Jayakrishna,0 reviews,0 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",I ordered fries but got strips. Pathetic,DELIVERY
Ayaan,0 reviews,0 Followers,5,one month ago,"0 Votes for helpful, 0 Comments",but the food got cold,DELIVERY
Vinay Kumar AV,0 reviews,0 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",soggy patty is like soaked in water no veggies and no mayo or cheese noting and delivery was also late worst burer ever had,DELIVERY
Atif,0 reviews,0 Followers,2,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Heena Kulsum,0 reviews,0 Followers,2,one month ago,"0 Votes for helpful, 0 Comments",I ordered a Cheese Burger and you gave me something which I didn't order,DELIVERY
Siri Tk,0 reviews,1 Followers,4,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Parth Kapadia,0 reviews,146 Followers,3,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Sai Ujjwal,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Azmath,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",mango thick shake was worst I wasted my money,DELIVERY
Arjunvayalar,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Aashish Raghu,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Anshu,0 reviews,0 Followers,2,2 months ago,"0 Votes for helpful, 0 Comments",I placed six pieces chicken nuggets but got only 4,DELIVERY
Juliet Arambam,0 reviews,5 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Stanley Mathew,0 reviews,0 Followers,2,2 months ago,"0 Votes for helpful, 0 Comments",order received but it was cold Nd fries was not crispy it was cold not Happy,DELIVERY
Vatsala Singh,0 reviews,0 Followers,4,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Chaitra Chaithu,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Kabir Ahmed,0 reviews,1 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Lakshmi Narayana,0 reviews,2 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Aashish Raghu,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Dipak Kumar Behera,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Vaibhav,0 reviews,2 Followers,1,yesterday,"0 Votes for helpful, 0 Comments",Cold wrap,DELIVERY
Sanjay,0 reviews,0 Followers,2,2 days ago,"0 Votes for helpful, 0 Comments",Restaurant missed fries which was part of the combo,DELIVERY
Naveen Kumar N,0 reviews,0 Followers,3,3 days ago,"0 Votes for helpful, 0 Comments",It's was not hot,DELIVERY
Karthik B Patil,0 reviews,1 Followers,1,4 days ago,"0 Votes for helpful, 0 Comments",Found a Hair in Fries. how to trust hygiene and quality of food,DELIVERY
Arjunan,0 reviews,0 Followers,1,11 days ago,"0 Votes for helpful, 0 Comments","deluxe burger did not have tomato, nuggets and fries were stale",DELIVERY
Rakesh Kumar,0 reviews,0 Followers,1,12 days ago,"0 Votes for helpful, 0 Comments",This is third time where I got cold food with not even warm and it's only 500mtr from stay,DELIVERY
Kashif Abdul Basith,0 reviews,33 Followers,3,12 days ago,"0 Votes for helpful, 0 Comments",got the wrong product for mango sundae. oreo sundae was given with our information,DELIVERY
Shubho Broto Das,0 reviews,0 Followers,1,14 days ago,"0 Votes for helpful, 0 Comments","Rip off, sending small fries when paid for large",DELIVERY
Bilal Shaikh,0 reviews,1 Followers,4,14 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Sakshi,0 reviews,0 Followers,5,15 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Maggie,0 reviews,0 Followers,5,26 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Lhamo,0 reviews,0 Followers,5,26 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Faraz Khan,0 reviews,0 Followers,1,27 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Abhishek Methra,0 reviews,2 Followers,1,27 days ago,"0 Votes for helpful, 0 Comments",Overcooked n burnt,DELIVERY
Rakesh Kumar,0 reviews,0 Followers,1,28 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
